indicator_full_name,indicator,year,geo,numerator,denom,value,blue_bar_label,diff_bar_label,grey_bar_label,summary_sentence,reverse_gap_sentence
Small-business lending per employee,Small-business lending,2014–16,"Colonial Village, Shepherd Park, North Portal Estates",4189862.7813,534.71063937,7835.7572727,per employee,more in loans,n/a,"more would be lent to small businesses annually in Colonial Village, Shepherd Park, and North Portal Estates .","More money is lent to small businesses per employee in Colonial Village, Shepherd Park, and North Portal Estates than in"
Small-business lending per employee,Small-business lending,2014–16,"Takoma, Brightwood, Manor Park",6297965.6915,1254.412129,5020.6511447,per employee,more in loans,n/a,"more would be lent to small businesses annually in Takoma, Brightwood, and Manor Park .","More money is lent to small businesses per employee in Takoma, Brightwood, and Manor Park than in"
Small-business lending per employee,Small-business lending,2014–16,"Brightwood Park, Crestwood, Petworth",12284116.252,1920.7357632,6395.5263848,per employee,more in loans,n/a,"more would be lent to small businesses annually in Brightwood Park, Crestwood, and Petworth .","More money is lent to small businesses per employee in Brightwood Park, Crestwood, and Petworth than in"
Small-business lending per employee,Small-business lending,2014–16,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",5052003.3223,696.33616607,7255.1212596,per employee,more in loans,n/a,"more would be lent to small businesses annually in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill .","More money is lent to small businesses per employee in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill than in"
Small-business lending per employee,Small-business lending,2014–16,"North Michigan Park, Michigan Park, University Heights",3847799.6534,861.35654762,4467.1392631,per employee,more in loans,n/a,"more would be lent to small businesses annually in North Michigan Park, Michigan Park, and University Heights .","More money is lent to small businesses per employee in North Michigan Park, Michigan Park, and University Heights than in"
Small-business lending per employee,Small-business lending,2014–16,"Edgewood, Bloomingdale, Truxton Circle, Eckington",9591239.5061,2053.1846586,4671.3964405,per employee,more in loans,n/a,"more would be lent to small businesses annually in Edgewood, Bloomingdale, Truxton Circle, and Eckington .","More money is lent to small businesses per employee in Edgewood, Bloomingdale, Truxton Circle, and Eckington than in"
Small-business lending per employee,Small-business lending,2014–16,"Brookland, Brentwood, Langdon",11748455.809,2075.9836521,5659.2236635,per employee,more in loans,n/a,"more would be lent to small businesses annually in Brookland, Brentwood, and Langdon .","More money is lent to small businesses per employee in Brookland, Brentwood, and Langdon than in"
Small-business lending per employee,Small-business lending,2014–16,"Ivy City, Arboretum, Trinidad, Carver Langston",9298499.2086,1211.8557316,7672.9423857,per employee,more in loans,n/a,"more would be lent to small businesses annually in Ivy City, Arboretum, Trinidad, and Carver Langston .","More money is lent to small businesses per employee in Ivy City, Arboretum, Trinidad, and Carver Langston than in"
Small-business lending per employee,Small-business lending,2014–16,"Woodridge, Fort Lincoln, Gateway",5320793.1622,661.34063351,8045.4653662,per employee,more in loans,n/a,"more would be lent to small businesses annually in Woodridge, Fort Lincoln, and Gateway .","More money is lent to small businesses per employee in Woodridge, Fort Lincoln, and Gateway than in"
Small-business lending per employee,Small-business lending,2014–16,"Union Station, Stanton Park, Kingman Park",15972886.554,3721.5673448,4291.9783722,per employee,more in loans,n/a,"more would be lent to small businesses annually in Union Station, Stanton Park, and Kingman Park .","More money is lent to small businesses per employee in Union Station, Stanton Park, and Kingman Park than in"
Small-business lending per employee,Small-business lending,2014–16,"Capitol Hill, Lincoln Park",22606056.752,4876.1025488,4636.0913302,per employee,more in loans,n/a,more would be lent to small businesses annually in Capitol Hill and Lincoln Park .,More money is lent to small businesses per employee in Capitol Hill and Lincoln Park than in
Small-business lending per employee,Small-business lending,2014–16,"Near Southeast, Navy Yard",3523000,717,4913.5285914,per employee,more in loans,n/a,more would be lent to small businesses annually in Near Southeast and Navy Yard .,More money is lent to small businesses per employee in Near Southeast and Navy Yard than in
Small-business lending per employee,Small-business lending,2014–16,Historic Anacostia,1701926.7119,377.82993196,4504.4782532,per employee,more in loans,n/a,more would be lent to small businesses annually in Historic Anacostia .,More money is lent to small businesses per employee in Historic Anacostia than in
Small-business lending per employee,Small-business lending,2014–16,"Eastland Gardens, Kenilworth",377287.11656,105.79018405,3566.3716814,per employee,more in loans,n/a,more would be lent to small businesses annually in Eastland Gardens and Kenilworth .,More money is lent to small businesses per employee in Eastland Gardens and Kenilworth than in
Small-business lending per employee,Small-business lending,2014–16,"Mayfair, Hillbrook, Mahaning Heights",304256.54165,194.76328188,1562.1863562,per employee,more in loans,n/a,"more would be lent to small businesses annually in Mayfair, Hillbrook, and Mahaning Heights .","More money is lent to small businesses per employee in Mayfair, Hillbrook, and Mahaning Heights than in"
Small-business lending per employee,Small-business lending,2014–16,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",1549840.3879,298.64661166,5189.5461973,per employee,more in loans,n/a,"more would be lent to small businesses annually in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights .","More money is lent to small businesses per employee in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights than in"
Small-business lending per employee,Small-business lending,2014–16,"River Terrace, Benning, Greenway, Dupont Park",369166.34497,235.05737965,1570.5371408,per employee,more in loans,n/a,"more would be lent to small businesses annually in River Terrace, Benning, Greenway, and Dupont Park .","More money is lent to small businesses per employee in River Terrace, Benning, Greenway, and Dupont Park than in"
Small-business lending per employee,Small-business lending,2014–16,"Capitol View, Marshall Heights, Benning Heights",570654.92344,329.23890448,1733.2548362,per employee,more in loans,n/a,"more would be lent to small businesses annually in Capitol View, Marshall Heights, and Benning Heights .","More money is lent to small businesses per employee in Capitol View, Marshall Heights, and Benning Heights than in"
Small-business lending per employee,Small-business lending,2014–16,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",2726738.1304,688.78032186,3958.7921487,per employee,more in loans,n/a,"more would be lent to small businesses annually in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont .","More money is lent to small businesses per employee in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont than in"
Small-business lending per employee,Small-business lending,2014–16,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",383056.62153,104.72331641,3657.7968942,per employee,more in loans,n/a,"more would be lent to small businesses annually in Fairfax Village, Naylor Gardens, Hillcrest, and Summit Park .","More money is lent to small businesses per employee in Fairfax Village, Naylor Gardens, Hillcrest, and Summit Park than in"
Small-business lending per employee,Small-business lending,2014–16,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",14632.872829,114.95391705,127.29338159,per employee,more in loans,n/a,"more would be lent to small businesses annually in Woodland/Fort Stanton, Garfield Heights, and Knox Hill .","More money is lent to small businesses per employee in Woodland/Fort Stanton, Garfield Heights, and Knox Hill than in"
Small-business lending per employee,Small-business lending,2014–16,"Sheridan, Barry Farm, Buena Vista",1258440.5041,229.21615099,5490.1912395,per employee,more in loans,n/a,"more would be lent to small businesses annually in Sheridan, Barry Farm, and Buena Vista .","More money is lent to small businesses per employee in Sheridan, Barry Farm, and Buena Vista than in"
Small-business lending per employee,Small-business lending,2014–16,"Douglas, Shipley Terrace",573312.283,207.7825472,2759.1936412,per employee,more in loans,n/a,more would be lent to small businesses annually in Douglas and Shipley Terrace .,More money is lent to small businesses per employee in Douglas and Shipley Terrace than in
Small-business lending per employee,Small-business lending,2014–16,"Congress Heights, Bellevue, Washington Highlands",2583668.436,690.58794604,3741.2590978,per employee,more in loans,n/a,"more would be lent to small businesses annually in Congress Heights, Bellevue, and Washington Highlands .","More money is lent to small businesses per employee in Congress Heights, Bellevue, and Washington Highlands than in"
Small-business lending per employee,Small-business lending,2014–16,Walter Reed,116254.05524,20.272983997,5734.4323489,per employee,more in loans,n/a,more would be lent to small businesses annually in Walter Reed .,More money is lent to small businesses per employee in Walter Reed than in
Small-business lending per employee,Small-business lending,2014–16,Rock Creek Park,441711.25543,74.714059454,5912.0232344,per employee,more in loans,n/a,more would be lent to small businesses annually in Rock Creek Park .,More money is lent to small businesses per employee in Rock Creek Park than in
Small-business lending per employee,Small-business lending,2014–16,Saint Elizabeths,193901.17732,42.294996245,4584.4944919,per employee,more in loans,n/a,more would be lent to small businesses annually in Saint Elizabeths .,More money is lent to small businesses per employee in Saint Elizabeths than in
Small-business lending per employee,Small-business lending,2014–16,Joint Base Anacostia-Bolling,371784.69939,131.33451051,2830.8225915,per employee,more in loans,n/a,more would be lent to small businesses annually in Joint Base Anacostia-Bolling .,More money is lent to small businesses per employee in Joint Base Anacostia-Bolling than in
People who live within one mile of a major grocery store,Grocery stores,2017,"Kalorama Heights, Adams Morgan, Lanier Heights",19609.42297,19609.423036,0.9999999966,near a grocery store,more,people,"more people in Kalorama Heights, Adams Morgan, and Lanier Heights would have a grocery store nearby.","A higher share of people have a grocery store nearby in Kalorama Heights, Adams Morgan, and Lanier Heights than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",50843.542412,50843.542652,0.9999999953,near a grocery store,more,people,"more people in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View would have a grocery store nearby.","A higher share of people have a grocery store nearby in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Howard University, Le Droit Park, Cardozo/Shaw",14459.157298,14459.157133,1.0000000114,near a grocery store,more,people,"more people in Howard University, Le Droit Park, and Cardozo/Shaw would have a grocery store nearby.","A higher share of people have a grocery store nearby in Howard University, Le Droit Park, and Cardozo/Shaw than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Georgetown, Burleith/Hillandale",14711.67107,14711.6711,0.9999999979,near a grocery store,more,people,more people in Georgetown and Burleith/Hillandale would have a grocery store nearby.,A higher share of people have a grocery store nearby in Georgetown and Burleith/Hillandale than in
People who live within one mile of a major grocery store,Grocery stores,2017,"West End, Foggy Bottom, GWU",17354.89954,17354.899487,1.000000003,near a grocery store,more,people,"more people in West End, Foggy Bottom, and GWU would have a grocery store nearby.","A higher share of people have a grocery store nearby in West End, Foggy Bottom, and GWU than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Dupont Circle, Connecticut Avenue/K Street",19657.213775,19657.213787,0.9999999994,near a grocery store,more,people,more people in Dupont Circle and Connecticut Avenue/K Street would have a grocery store nearby.,A higher share of people have a grocery store nearby in Dupont Circle and Connecticut Avenue/K Street than in
People who live within one mile of a major grocery store,Grocery stores,2017,"Shaw, Logan Circle",20583.377441,20583.377645,0.9999999901,near a grocery store,more,people,more people in Shaw and Logan Circle would have a grocery store nearby.,A higher share of people have a grocery store nearby in Shaw and Logan Circle than in
People who live within one mile of a major grocery store,Grocery stores,2017,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",19162.694609,19162.694684,0.9999999961,near a grocery store,more,people,"more people in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street would have a grocery store nearby.","A higher share of people have a grocery store nearby in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",11826.567104,12194.878788,0.9697978397,near a grocery store,more,people,"more people in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point would have a grocery store nearby.","A higher share of people have a grocery store nearby in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Hawthorne, Barnaby Woods, Chevy Chase",12310.63897,15567.714833,0.7907800921,near a grocery store,more,people,"more people in Hawthorne, Barnaby Woods, and Chevy Chase would have a grocery store nearby.","A higher share of people have a grocery store nearby in Hawthorne, Barnaby Woods, and Chevy Chase than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Friendship Heights, American University Park, Tenleytown",12051.772242,12240.969286,0.9845439491,near a grocery store,more,people,"more people in Friendship Heights, American University Park, and Tenleytown would have a grocery store nearby.","A higher share of people have a grocery store nearby in Friendship Heights, American University Park, and Tenleytown than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"North Cleveland Park, Forest Hills, Van Ness",9624.1897012,10219.680244,0.9417310006,near a grocery store,more,people,"more people in North Cleveland Park, Forest Hills, and Van Ness would have a grocery store nearby.","A higher share of people have a grocery store nearby in North Cleveland Park, Forest Hills, and Van Ness than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",11242.43778,16861.754411,0.6667418767,near a grocery store,more,people,"more people in Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, and Georgetown Reservoir would have a grocery store nearby.","A higher share of people have a grocery store nearby in Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, and Georgetown Reservoir than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Cathedral Heights, McLean Gardens, Glover Park",20580.552737,20580.552759,0.9999999989,near a grocery store,more,people,"more people in Cathedral Heights, McLean Gardens, and Glover Park would have a grocery store nearby.","A higher share of people have a grocery store nearby in Cathedral Heights, McLean Gardens, and Glover Park than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",16223.062068,16223.062113,0.9999999972,near a grocery store,more,people,"more people in Cleveland Park, Woodley Park, Massachusetts Avenue Heights, and Woodland-Normanstone Terrace would have a grocery store nearby.","A higher share of people have a grocery store nearby in Cleveland Park, Woodley Park, Massachusetts Avenue Heights, and Woodland-Normanstone Terrace than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Colonial Village, Shepherd Park, North Portal Estates",4208.7568026,4324.6124031,0.9732101771,near a grocery store,more,people,"more people in Colonial Village, Shepherd Park, and North Portal Estates would have a grocery store nearby.","A higher share of people have a grocery store nearby in Colonial Village, Shepherd Park, and North Portal Estates than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Takoma, Brightwood, Manor Park",22827.543976,22937.312766,0.9952144006,near a grocery store,more,people,"more people in Takoma, Brightwood, and Manor Park would have a grocery store nearby.","A higher share of people have a grocery store nearby in Takoma, Brightwood, and Manor Park than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Brightwood Park, Crestwood, Petworth",40439.708235,40726.734694,0.9929523822,near a grocery store,more,people,"more people in Brightwood Park, Crestwood, and Petworth would have a grocery store nearby.","A higher share of people have a grocery store nearby in Brightwood Park, Crestwood, and Petworth than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",15124.816809,15144.308629,0.9987129277,near a grocery store,more,people,"more people in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill would have a grocery store nearby.","A higher share of people have a grocery store nearby in Lamont Riggs, Queens Chapel, Fort Totten, and Pleasant Hill than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"North Michigan Park, Michigan Park, University Heights",13212.283813,13212.283809,1.0000000003,near a grocery store,more,people,"more people in North Michigan Park, Michigan Park, and University Heights would have a grocery store nearby.","A higher share of people have a grocery store nearby in North Michigan Park, Michigan Park, and University Heights than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Edgewood, Bloomingdale, Truxton Circle, Eckington",24098.480998,24098.480905,1.0000000038,near a grocery store,more,people,"more people in Edgewood, Bloomingdale, Truxton Circle, and Eckington would have a grocery store nearby.","A higher share of people have a grocery store nearby in Edgewood, Bloomingdale, Truxton Circle, and Eckington than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Brookland, Brentwood, Langdon",13828.399794,14474.908533,0.9553359016,near a grocery store,more,people,"more people in Brookland, Brentwood, and Langdon would have a grocery store nearby.","A higher share of people have a grocery store nearby in Brookland, Brentwood, and Langdon than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Ivy City, Arboretum, Trinidad, Carver Langston",16781.370969,16788.029429,0.9996033805,near a grocery store,more,people,"more people in Ivy City, Arboretum, Trinidad, and Carver Langston would have a grocery store nearby.","A higher share of people have a grocery store nearby in Ivy City, Arboretum, Trinidad, and Carver Langston than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Woodridge, Fort Lincoln, Gateway",7251.8807201,8321.7917519,0.8714326117,near a grocery store,more,people,"more people in Woodridge, Fort Lincoln, and Gateway would have a grocery store nearby.","A higher share of people have a grocery store nearby in Woodridge, Fort Lincoln, and Gateway than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Union Station, Stanton Park, Kingman Park",28668.102568,28668.10271,0.9999999951,near a grocery store,more,people,"more people in Union Station, Stanton Park, and Kingman Park would have a grocery store nearby.","A higher share of people have a grocery store nearby in Union Station, Stanton Park, and Kingman Park than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Capitol Hill, Lincoln Park",29187.269674,29387.791043,0.9931767118,near a grocery store,more,people,more people in Capitol Hill and Lincoln Park would have a grocery store nearby.,A higher share of people have a grocery store nearby in Capitol Hill and Lincoln Park than in
People who live within one mile of a major grocery store,Grocery stores,2017,"Near Southeast, Navy Yard",4663.9999884,4664,0.9999999975,near a grocery store,more,people,more people in Near Southeast and Navy Yard would have a grocery store nearby.,A higher share of people have a grocery store nearby in Near Southeast and Navy Yard than in
People who live within one mile of a major grocery store,Grocery stores,2017,Historic Anacostia,3752.2597533,5676.1790695,0.6610538017,near a grocery store,more,people,more people in Historic Anacostia would have a grocery store nearby.,A higher share of people have a grocery store nearby in Historic Anacostia than in
People who live within one mile of a major grocery store,Grocery stores,2017,"Eastland Gardens, Kenilworth",1859.1002046,2230.9558282,0.833320042,near a grocery store,more,people,more people in Eastland Gardens and Kenilworth would have a grocery store nearby.,A higher share of people have a grocery store nearby in Eastland Gardens and Kenilworth than in
People who live within one mile of a major grocery store,Grocery stores,2017,"Mayfair, Hillbrook, Mahaning Heights",7098.109731,7336.0646523,0.9675636826,near a grocery store,more,people,"more people in Mayfair, Hillbrook, and Mahaning Heights would have a grocery store nearby.","A higher share of people have a grocery store nearby in Mayfair, Hillbrook, and Mahaning Heights than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",2706.0929948,12874.165603,0.2101956024,near a grocery store,more,people,"more people in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights would have a grocery store nearby.","A higher share of people have a grocery store nearby in Deanwood, Burrville, Grant Park, Lincoln Heights, and Fairmont Heights than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"River Terrace, Benning, Greenway, Dupont Park",13093.274833,13638.129743,0.9600491475,near a grocery store,more,people,"more people in River Terrace, Benning, Greenway, and Dupont Park would have a grocery store nearby.","A higher share of people have a grocery store nearby in River Terrace, Benning, Greenway, and Dupont Park than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Capitol View, Marshall Heights, Benning Heights",15607.807289,19222.625119,0.8119498347,near a grocery store,more,people,"more people in Capitol View, Marshall Heights, and Benning Heights would have a grocery store nearby.","A higher share of people have a grocery store nearby in Capitol View, Marshall Heights, and Benning Heights than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",15281.102086,18759.177191,0.8145934084,near a grocery store,more,people,"more people in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont would have a grocery store nearby.","A higher share of people have a grocery store nearby in Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, and Fort Dupont than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",5674.5246242,5898.8818628,0.9619661414,near a grocery store,more,people,"more people in Fairfax Village, Naylor Gardens, Hillcrest, and Summit Park would have a grocery store nearby.","A higher share of people have a grocery store nearby in Fairfax Village, Naylor Gardens, Hillcrest, and Summit Park than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Woodland/Fort Stanton, Garfield Heights, Knox Hill",8762.6887287,8762.6889401,0.9999999759,near a grocery store,more,people,"more people in Woodland/Fort Stanton, Garfield Heights, and Knox Hill would have a grocery store nearby.","A higher share of people have a grocery store nearby in Woodland/Fort Stanton, Garfield Heights, and Knox Hill than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Sheridan, Barry Farm, Buena Vista",4450.0012066,8052.1319904,0.5526488155,near a grocery store,more,people,"more people in Sheridan, Barry Farm, and Buena Vista would have a grocery store nearby.","A higher share of people have a grocery store nearby in Sheridan, Barry Farm, and Buena Vista than in"
People who live within one mile of a major grocery store,Grocery stores,2017,"Douglas, Shipley Terrace",12877.47744,12877.477477,0.9999999971,near a grocery store,more,people,more people in Douglas and Shipley Terrace would have a grocery store nearby.,A higher share of people have a grocery store nearby in Douglas and Shipley Terrace than in
People who live within one mile of a major grocery store,Grocery stores,2017,"Congress Heights, Bellevue, Washington Highlands",7023.4438648,31674.834162,0.2217357739,near a grocery store,more,people,"more people in Congress Heights, Bellevue, and Washington Highlands would have a grocery store nearby.","A higher share of people have a grocery store nearby in Congress Heights, Bellevue, and Washington Highlands than in"
People who live within one mile of a major grocery store,Grocery stores,2017,Walter Reed,309.82502774,309.82502651,1.000000004,near a grocery store,more,people,more people in Walter Reed would have a grocery store nearby.,A higher share of people have a grocery store nearby in Walter Reed than in
People who live within one mile of a major grocery store,Grocery stores,2017,Rock Creek Park,971.45419801,1020.5338072,0.9519079046,near a grocery store,more,people,more people in Rock Creek Park would have a grocery store nearby.,A higher share of people have a grocery store nearby in Rock Creek Park than in
People who live within one mile of a major grocery store,Grocery stores,2017,Saint Elizabeths,423.30785508,804.14633048,0.5264064997,near a grocery store,more,people,more people in Saint Elizabeths would have a grocery store nearby.,A higher share of people have a grocery store nearby in Saint Elizabeths than in
People who live within one mile of a major grocery store,Grocery stores,2017,Joint Base Anacostia-Bolling,231.19846592,6460.5420298,0.0357862335,near a grocery store,more,people,more people in Joint Base Anacostia-Bolling would have a grocery store nearby.,A higher share of people have a grocery store nearby in Joint Base Anacostia-Bolling than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Kalorama Heights, Adams Morgan, Lanier Heights",19603.564604,19609.423036,0.999701244,near a branch,more,people,"more people in Kalorama Heights, Adams Morgan, and Lanier Heights would have access to a retail bank location.","A higher share of people have access to a retail bank location in Kalorama Heights, Adams Morgan, and Lanier Heights than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",50828.984398,50843.542652,0.9997136656,near a branch,more,people,"more people in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View would have access to a retail bank location.","A higher share of people have access to a retail bank location in Columbia Heights, Mt. Pleasant, Pleasant Plains, and Park View than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Howard University, Le Droit Park, Cardozo/Shaw",14456.52145,14459.157133,0.9998177153,near a branch,more,people,"more people in Howard University, Le Droit Park, and Cardozo/Shaw would have access to a retail bank location.","A higher share of people have access to a retail bank location in Howard University, Le Droit Park, and Cardozo/Shaw than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Georgetown, Burleith/Hillandale",14705.945711,14711.6711,0.9996108267,near a branch,more,people,more people in Georgetown and Burleith/Hillandale would have access to a retail bank location.,A higher share of people have access to a retail bank location in Georgetown and Burleith/Hillandale than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"West End, Foggy Bottom, GWU",17348.773238,17354.899487,0.9996470018,near a branch,more,people,"more people in West End, Foggy Bottom, and GWU would have access to a retail bank location.","A higher share of people have access to a retail bank location in West End, Foggy Bottom, and GWU than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Dupont Circle, Connecticut Avenue/K Street",19647.207538,19657.213787,0.999490963,near a branch,more,people,more people in Dupont Circle and Connecticut Avenue/K Street would have access to a retail bank location.,A higher share of people have access to a retail bank location in Dupont Circle and Connecticut Avenue/K Street than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Shaw, Logan Circle",20576.513386,20583.377645,0.9996665145,near a branch,more,people,more people in Shaw and Logan Circle would have access to a retail bank location.,A higher share of people have access to a retail bank location in Shaw and Logan Circle than in
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",19158.685867,19162.694684,0.999790801,near a branch,more,people,"more people in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street would have access to a retail bank location.","A higher share of people have access to a retail bank location in Downtown, Chinatown, Penn Quarters, Mount Vernon Square, and North Capitol Street than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",11845.242424,12194.878788,0.9713292465,near a branch,more,people,"more people in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point would have access to a retail bank location.","A higher share of people have access to a retail bank location in Southwest Employment Area, Southwest/Waterfront, Fort McNair, and Buzzard Point than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Hawthorne, Barnaby Woods, Chevy Chase",12575.752053,15567.714833,0.8078097645,near a branch,more,people,"more people in Hawthorne, Barnaby Woods, and Chevy Chase would have access to a retail bank location.","A higher share of people have access to a retail bank location in Hawthorne, Barnaby Woods, and Chevy Chase than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Friendship Heights, American University Park, Tenleytown",12236.569058,12240.969286,0.9996405327,near a branch,more,people,"more people in Friendship Heights, American University Park, and Tenleytown would have access to a retail bank location.","A higher share of people have access to a retail bank location in Friendship Heights, American University Park, and Tenleytown than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"North Cleveland Park, Forest Hills, Van Ness",9686.6215536,10219.680244,0.9478399835,near a branch,more,people,"more people in North Cleveland Park, Forest Hills, and Van Ness would have access to a retail bank location.","A higher share of people have access to a retail bank location in North Cleveland Park, Forest Hills, and Van Ness than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",16494.174535,16861.754411,0.9782003778,near a branch,more,people,"more people in Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, and Georgetown Reservoir would have access to a retail bank location.","A higher share of people have access to a retail bank location in Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, and Georgetown Reservoir than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Cathedral Heights, McLean Gardens, Glover Park",20574.313505,20580.552759,0.9996968374,near a branch,more,people,"more people in Cathedral Heights, McLean Gardens, and Glover Park would have access to a retail bank location.","A higher share of people have access to a retail bank location in Cathedral Heights, McLean Gardens, and Glover Park than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",16218.137628,16223.062113,0.9996964516,near a branch,more,people,"more people in Cleveland Park, Woodley Park, Massachusetts Avenue Heights, and Woodland-Normanstone Terrace would have access to a retail bank location.","A higher share of people have access to a retail bank location in Cleveland Park, Woodley Park, Massachusetts Avenue Heights, and Woodland-Normanstone Terrace than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Colonial Village, Shepherd Park, North Portal Estates",4187.1627907,4324.6124031,0.9682168945,near a branch,more,people,"more people in Colonial Village, Shepherd Park, and North Portal Estates would have access to a retail bank location.","A higher share of people have access to a retail bank location in Colonial Village, Shepherd Park, and North Portal Estates than in"
People who live within one mile of a retail bank branch,Retail bank branch locations,2018,"Takoma, Brightwood, Manor Park",22054.198177,22937.312766,0.9614987772,near a branch,more,people,"more people in Takoma, Brightwood, and Manor Park would have access to a retail bank location.","A higher share of people have access to a retail bank location in Takoma, Brightwood, and Manor Park than in"
